LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,orig_date,first_pay,oltv,ocltv,num_bo,dti,CSCORE_B,CSCORE_C,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,prod_type,MI_TYPE,relo_flg
000137946672,R,Other,7.0,568000.0,360,2023-10-01,2023-12-01,80.0,80.0,1,31.0,720,,N,C,PU,1,P,IL,605,,FRM,,N
000137628565,R,U.S. Bank N.A.,7.625,60000.0,360,2023-11-01,2024-01-01,48.0,48.0,1,35.0,777,,N,P,SF,1,P,IA,520,,FRM,,N
000137792953,R,"Movement Mortgage, LLC",6.375,250000.0,180,2024-01-01,2024-03-01,43.0,43.0,2,45.0,655,642,N,C,SF,1,P,WA,986,,FRM,,N
000137633696,R,Other,7.5,160000.0,360,2023-11-01,2024-01-01,95.0,98.0,1,48.0,708,,Y,P,SF,1,P,NY,132,25.0,FRM,1,N
000137988580,R,Other,6.0,110000.0,360,2024-03-01,2024-05-01,40.0,40.0,2,33.0,813,780,N,R,PU,1,P,IL,622,,FRM,,N
000137993619,R,Other,6.625,94000.0,360,2024-01-01,2024-03-01,40.0,40.0,2,23.0,729,657,N,C,SF,1,P,FL,344,,FRM,,N
000138004102,R,Other,7.0,296000.0,360,2023-10-01,2023-12-01,97.0,97.0,2,25.0,723,,Y,P,CO,1,P,TX,782,35.0,FRM,1,N
000137967668,R,Other,5.875,607000.0,360,2024-02-01,2024-04-01,80.0,80.0,2,37.0,803,714,Y,P,PU,1,P,CO,801,,FRM,,N
000137764819,R,"CMG Mortgage, Inc",6.5,225000.0,360,2024-01-01,2024-03-01,91.0,91.0,1,50.0,772,,N,P,PU,1,P,SC,292,25.0,FRM,1,N
000137770562,B,"Rocket Mortgage, LLC",6.625,750000.0,360,2024-01-01,2024-03-01,75.0,75.0,2,32.0,787,798,Y,P,SF,1,P,CA,920,,FRM,,N
000137968961,R,Other,6.875,179000.0,360,2024-03-01,2024-05-01,97.0,97.0,1,38.0,751,,Y,P,SF,1,P,KS,672,35.0,FRM,1,N
000137986471,R,Other,7.5,240000.0,360,2024-03-01,2024-05-01,79.0,79.0,1,44.0,702,,N,P,SF,1,P,OH,450,,FRM,,N
000137790824,R,"Rocket Mortgage, LLC",6.875,135000.0,360,2024-01-01,2024-03-01,60.0,60.0,1,44.0,642,,Y,P,SF,1,P,IA,515,,FRM,,N
000137763275,B,"United Wholesale Mortgage, LLC",6.375,345000.0,360,2024-02-01,2024-04-01,75.0,75.0,1,34.0,823,,Y,P,PU,1,P,GA,301,,FRM,,N
000137622084,R,"Movement Mortgage, LLC",6.99,243000.0,360,2023-12-01,2024-02-01,79.0,79.0,1,46.0,755,,Y,P,PU,1,P,TX,761,,FRM,,N
000138004069,R,Other,7.625,136000.0,360,2024-02-01,2024-04-01,85.0,85.0,2,35.0,792,815,N,P,PU,1,S,WV,254,12.0,FRM,1,N
000137598518,R,Other,6.875,125000.0,240,2024-01-01,2024-03-01,22.0,22.0,1,37.0,719,,N,C,MH,1,P,CA,934,,FRM,,N
000137639533,B,"United Wholesale Mortgage, LLC",6.999,435000.0,360,2023-12-01,2024-02-01,97.0,97.0,1,23.0,689,,Y,P,PU,1,P,FL,331,25.0,FRM,1,N
000137799029,C,Freedom Mortgage Corp.,7.375,380000.0,360,2023-12-01,2024-02-01,50.0,50.0,1,33.0,784,,Y,P,SF,1,P,CA,923,,FRM,,N
000137636773,B,"United Wholesale Mortgage, LLC",6.625,463000.0,360,2024-01-01,2024-03-01,85.0,85.0,1,39.0,751,,N,P,PU,1,P,NV,890,12.0,FRM,1,N
000137949678,B,"United Wholesale Mortgage, LLC",6.625,500000.0,360,2024-02-01,2024-05-01,67.0,67.0,2,42.0,802,797,Y,P,SF,1,P,CA,927,,FRM,,N
000137610640,R,Other,6.875,400000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,41.0,745,,N,P,SF,1,P,GA,306,,FRM,,N
000137985673,R,"CMG Mortgage, Inc",7.25,412000.0,360,2024-03-01,2024-05-01,97.0,97.0,1,30.0,791,,Y,P,PU,1,P,NM,871,35.0,FRM,1,N
000137800221,R,"Guaranteed Rate, Inc.",7.375,500000.0,360,2023-11-01,2024-02-01,72.0,72.0,2,41.0,785,792,Y,P,PU,1,P,WA,980,,FRM,,N
000137644331,R,Other,6.5,404000.0,360,2023-12-01,2024-02-01,80.0,80.0,2,33.0,803,650,Y,P,SF,1,P,OR,970,,FRM,,N
000137749304,R,Other,6.875,166000.0,360,2023-10-01,2023-12-01,95.0,95.0,1,24.0,749,,Y,P,CO,1,P,CT,067,25.0,FRM,1,N
000137586804,R,Other,7.375,55000.0,360,2024-01-01,2024-03-01,32.0,32.0,2,34.0,771,657,N,C,SF,1,P,PA,150,,FRM,,N
000137948802,R,"Lennar Mortgage, LLC",5.5,262000.0,360,2024-02-01,2024-04-01,70.0,70.0,2,39.0,775,762,N,P,PU,1,P,FL,335,,FRM,,N
000137952071,B,Other,6.875,239000.0,360,2024-03-01,2024-05-01,70.0,70.0,1,47.0,803,,N,C,SF,1,I,ID,834,,FRM,,N
000137795498,R,Other,6.5,461000.0,360,2024-01-01,2024-03-01,75.0,75.0,2,29.0,770,762,N,P,SF,1,I,WA,984,,FRM,,N
000137790284,R,"Rocket Mortgage, LLC",7.375,207000.0,360,2023-11-01,2024-01-01,95.0,95.0,1,49.0,708,,Y,P,SF,1,P,NC,285,25.0,FRM,2,N
000137982478,R,Other,6.125,260000.0,360,2024-02-01,2024-04-01,44.0,44.0,2,29.0,808,807,N,C,SF,1,P,VA,225,,FRM,,N
000137742329,R,"JPMorgan Chase Bank, National Association",7.75,736000.0,360,2023-11-01,2024-01-01,95.0,95.0,2,32.0,778,720,Y,P,SF,1,P,CA,908,30.0,FRM,1,N
000137979189,R,Other,6.625,109000.0,360,2024-03-01,2024-05-01,97.0,97.0,1,44.0,741,,Y,P,SF,1,P,IN,468,25.0,FRM,1,N
000137597474,R,"Rocket Mortgage, LLC",7.125,103000.0,360,2023-12-01,2024-02-01,46.0,46.0,2,47.0,612,743,N,R,SF,1,P,NY,131,,FRM,,N
000137629640,R,Other,7.25,100000.0,360,2024-01-01,2024-03-01,28.0,28.0,3,32.0,731,689,N,P,CO,1,P,NY,142,,FRM,,N
000137792525,R,Other,6.45,112000.0,360,2024-02-01,2024-04-01,33.0,33.0,1,31.0,798,,Y,P,SF,1,P,FL,347,,FRM,,N
000137985762,R,"CrossCountry Mortgage, LLC",7.125,216000.0,360,2024-03-01,2024-05-01,75.0,75.0,2,44.0,776,774,N,P,SF,1,I,CA,960,,FRM,,N
000137992896,R,Other,6.5,350000.0,360,2024-01-01,2024-03-01,39.0,39.0,2,18.0,786,789,N,P,SF,1,I,WA,981,,FRM,,N
000137635143,R,"PennyMac Loan Services, LLC",7.499,220000.0,360,2023-12-01,2024-02-01,62.0,62.0,1,41.0,719,,N,C,SF,1,P,TN,372,,FRM,,N
000137619989,R,"Guaranteed Rate, Inc.",7.0,255000.0,360,2023-12-01,2024-02-01,75.0,75.0,1,44.0,799,,N,P,PU,1,I,NV,890,,FRM,,N
000138001866,R,"Rocket Mortgage, LLC",6.625,480000.0,360,2024-01-01,2024-03-01,64.0,64.0,2,41.0,742,701,N,C,PU,1,P,WA,980,,FRM,,N
000137582838,R,"Rocket Mortgage, LLC",6.99,190000.0,192,2023-12-01,2024-02-01,65.0,65.0,1,44.0,758,,N,C,SF,1,P,MS,386,,FRM,,N
000137752151,B,"United Wholesale Mortgage, LLC",8.625,945000.0,360,2023-12-01,2024-02-01,95.0,95.0,1,46.0,735,,N,P,SF,2,P,NY,109,30.0,FRM,1,N
000137582021,R,Other,6.99,291000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,36.0,806,,N,P,SF,1,P,AL,366,25.0,FRM,1,N
000137745789,C,Other,6.0,200000.0,360,2024-02-01,2024-04-01,77.0,77.0,1,39.0,782,,Y,P,SF,1,P,KS,662,,FRM,,N
000137771942,R,Other,6.5,130000.0,360,2024-01-01,2024-03-01,80.0,80.0,2,37.0,782,799,Y,P,SF,2,P,IL,601,25.0,FRM,1,N
000137621224,R,Other,6.625,415000.0,360,2024-01-01,2024-03-01,78.0,78.0,2,45.0,805,802,N,P,SF,1,P,CO,802,,FRM,,N
000137780286,R,Other,6.5,150000.0,360,2024-02-01,2024-04-01,50.0,50.0,2,32.0,676,702,N,P,SF,1,P,NC,275,,FRM,,N
000137772776,R,Other,6.875,329000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,43.0,791,,N,P,SF,1,P,KY,410,25.0,FRM,1,N
000137639711,R,"Rocket Mortgage, LLC",7.5,222000.0,360,2023-12-01,2024-02-01,60.0,60.0,2,34.0,720,770,N,C,SF,1,P,CA,922,,FRM,,N
000137587475,C,Other,7.5,314000.0,360,2023-12-01,2024-02-01,95.0,100.0,2,44.0,749,787,Y,P,CO,1,P,FL,331,30.0,FRM,1,N
000137616696,C,"PennyMac Loan Services, LLC",7.375,320000.0,360,2023-11-01,2024-01-01,63.0,63.0,2,45.0,792,795,N,P,SF,1,P,CO,802,,FRM,,N
000137594553,R,"Movement Mortgage, LLC",7.437,221000.0,360,2023-12-01,2024-02-01,80.0,80.0,1,25.0,794,,Y,P,SF,1,P,TN,373,,FRM,,N
000137634312,C,Other,6.99,726000.0,360,2023-10-01,2023-12-01,65.0,65.0,1,26.0,750,,N,P,SF,1,P,NY,109,,FRM,,N
000137961081,R,Other,6.625,155000.0,360,2024-03-01,2024-05-01,80.0,80.0,1,43.0,715,,N,P,SF,1,P,MO,640,,FRM,,N
000137960598,R,Other,6.125,376000.0,360,2024-02-01,2024-04-01,70.0,70.0,2,49.0,690,798,Y,P,PU,1,P,MD,206,,FRM,,N
000137971723,R,Other,6.125,98000.0,240,2024-02-01,2024-04-01,54.0,54.0,1,27.0,726,,N,R,SF,1,P,PR,006,,FRM,,N
000137955385,B,"Rocket Mortgage, LLC",6.625,189000.0,360,2024-02-01,2024-04-01,97.0,97.0,2,23.0,685,750,Y,P,SF,1,P,NM,882,35.0,FRM,1,N
000137958405,C,"United Wholesale Mortgage, LLC",6.599,315000.0,360,2024-02-01,2024-04-01,34.0,34.0,1,42.0,740,,N,P,SF,1,P,GA,305,,FRM,,N
000137955068,R,Other,6.99,560000.0,360,2024-03-01,2024-05-01,80.0,80.0,2,44.0,819,788,Y,P,SF,1,P,CA,945,,FRM,,N
000137755701,C,"CitiMortgage, Inc.",7.625,539000.0,360,2023-10-01,2023-12-01,90.0,90.0,2,43.0,797,796,N,P,PU,1,P,TX,774,25.0,FRM,1,N
000137982753,R,Other,6.25,100000.0,360,2024-03-01,2024-05-01,29.0,29.0,2,19.0,803,812,N,P,PU,1,P,FL,326,,FRM,,N
000137765434,R,"JPMorgan Chase Bank, National Association",6.875,90000.0,180,2023-07-01,2023-09-01,45.0,45.0,2,24.0,795,786,N,C,SF,1,P,OH,446,,FRM,,N
000137792212,C,"PennyMac Loan Services, LLC",6.625,295000.0,360,2024-01-01,2024-03-01,60.0,60.0,1,25.0,799,,N,P,PU,1,S,SC,295,,FRM,,N
000137797058,B,"Rocket Mortgage, LLC",6.99,380000.0,360,2024-01-01,2024-03-01,44.0,44.0,1,28.0,805,,Y,P,CO,1,P,CA,951,,FRM,,N
000137616185,C,"PennyMac Loan Services, LLC",5.99,726000.0,360,2023-12-01,2024-02-01,60.0,60.0,2,36.0,809,810,N,P,PU,1,P,AZ,850,,FRM,,N
000137977711,R,"New American Funding, LLC",7.375,348000.0,360,2024-03-01,2024-05-01,83.0,83.0,1,48.0,771,,Y,P,SF,1,P,NJ,080,12.0,FRM,1,N
000137761850,R,"Guaranteed Rate, Inc.",6.375,255000.0,360,2024-01-01,2024-03-01,50.0,50.0,1,26.0,815,,Y,P,PU,1,P,CA,958,,FRM,,N
000137790779,C,Other,6.5,472000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,20.0,744,,N,P,SF,1,P,ND,588,,FRM,,N
000137963934,R,Other,6.375,483000.0,360,2024-03-01,2024-05-01,80.0,80.0,2,31.0,822,820,N,P,SF,1,P,UT,840,,FRM,,N
000137582907,R,"Rocket Mortgage, LLC",7.625,120000.0,360,2023-12-01,2024-02-01,80.0,80.0,2,43.0,731,733,N,P,SF,1,P,MI,481,,FRM,,N
000137600193,R,"JPMorgan Chase Bank, National Association",6.875,310000.0,360,2023-12-01,2024-02-01,49.0,49.0,1,48.0,782,,Y,P,CO,1,P,NY,112,,FRM,,N
000137616253,R,Other,7.0,532000.0,360,2023-12-01,2024-02-01,95.0,95.0,2,34.0,746,740,Y,P,SF,1,P,CA,959,30.0,FRM,1,N
000137638302,R,Other,8.0,233000.0,360,2023-12-01,2024-02-01,75.0,75.0,1,43.0,666,,N,R,PU,1,I,IN,466,,FRM,,N
000137971982,R,Other,6.99,231000.0,360,2024-02-01,2024-04-01,95.0,95.0,1,41.0,752,,Y,P,SF,1,P,TX,761,30.0,FRM,1,N
000137638165,R,Other,6.375,411000.0,360,2023-11-01,2024-01-01,70.0,70.0,1,31.0,783,,N,P,SF,1,S,FL,339,,FRM,,N
000137752614,C,"PennyMac Loan Services, LLC",6.75,215000.0,360,2024-01-01,2024-03-01,62.0,62.0,1,49.0,694,,Y,P,SF,1,P,CT,060,,FRM,,N
000137993162,R,Other,6.625,147000.0,360,2024-03-01,2024-05-01,95.0,95.0,1,27.0,794,,Y,P,SF,1,P,WI,534,25.0,FRM,1,N
000137600146,R,"New American Funding, LLC",7.125,608000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,38.0,718,,Y,P,SF,1,P,WA,982,25.0,FRM,1,N
000137792064,R,U.S. Bank N.A.,6.5,345000.0,360,2023-12-01,2024-03-01,54.0,54.0,1,37.0,742,,N,P,CO,1,P,CA,916,,FRM,,N
000137591861,R,Other,7.5,285000.0,360,2023-12-01,2024-02-01,95.0,95.0,2,37.0,791,736,Y,P,SF,1,P,FL,342,30.0,FRM,1,N
000137787830,B,"CMG Mortgage, Inc",6.25,670000.0,360,2024-02-01,2024-04-01,91.0,91.0,2,48.0,765,740,N,P,PU,1,P,NC,275,30.0,FRM,1,N
000137587051,C,"CitiMortgage, Inc.",7.25,260000.0,360,2023-09-01,2023-11-01,80.0,80.0,1,35.0,794,,N,P,CO,1,P,MD,208,,FRM,,N
000137994165,R,Other,6.55,524000.0,360,2024-02-01,2024-04-01,63.0,63.0,2,41.0,798,795,N,R,SF,1,P,MN,559,,FRM,,N
000137961390,R,"Rocket Mortgage, LLC",6.25,154000.0,360,2024-02-01,2024-04-01,60.0,60.0,1,43.0,688,,N,R,SF,1,P,FL,321,,FRM,,N
000137794843,R,Fairway Independent Mortgage Corporation,7.49,329000.0,360,2024-01-01,2024-03-01,95.0,95.0,2,45.0,812,798,N,P,SF,2,P,MN,551,30.0,FRM,1,N
000137775957,R,Other,6.25,308000.0,360,2023-12-01,2024-02-01,97.0,97.0,1,39.0,722,,Y,P,PU,1,P,SC,294,35.0,FRM,1,N
000137590962,R,Other,7.0,268000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,23.0,790,,N,P,SF,1,P,MO,640,,FRM,,N
000137979266,R,"Rocket Mortgage, LLC",6.5,346000.0,360,2024-01-01,2024-03-01,58.0,58.0,2,42.0,812,807,N,C,CO,1,P,OH,430,,FRM,,N
000137985525,B,"United Wholesale Mortgage, LLC",6.855,168000.0,360,2024-02-01,2024-04-01,97.0,97.0,1,33.0,731,,Y,P,CO,1,P,MI,480,35.0,FRM,1,N
000137600270,B,"United Wholesale Mortgage, LLC",7.125,778000.0,360,2023-12-01,2024-02-01,33.0,33.0,2,49.0,808,803,N,R,SF,1,P,HI,968,,FRM,,N
000137743584,C,Freedom Mortgage Corp.,7.25,713000.0,360,2023-10-01,2023-12-01,95.0,95.0,3,48.0,778,771,Y,P,SF,1,P,CA,913,30.0,FRM,1,N
000137769447,R,"New American Funding, LLC",6.125,176000.0,360,2024-01-01,2024-03-01,75.0,75.0,1,43.0,688,,Y,P,PU,1,P,TX,781,,FRM,,N
000137777670,B,"Rocket Mortgage, LLC",6.5,370000.0,360,2024-01-01,2024-03-01,80.0,80.0,2,44.0,702,797,N,P,PU,1,P,TX,775,,FRM,,N
000137944765,R,"JPMorgan Chase Bank, National Association",7.125,125000.0,360,2024-02-01,2024-04-01,74.0,74.0,1,32.0,673,,N,R,SF,1,P,WV,259,,FRM,,N
000137976822,R,"CrossCountry Mortgage, LLC",6.95,150000.0,360,2024-03-01,2024-05-01,46.0,46.0,2,45.0,763,752,Y,P,SF,1,P,FL,342,,FRM,,N
000137611342,R,"CrossCountry Mortgage, LLC",6.7,140000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,34.0,778,,Y,P,CO,1,P,OH,450,,FRM,,N
000137770823,R,Guild Mortgage Company LLC,7.0,209000.0,360,2024-01-01,2024-03-01,95.0,95.0,1,48.0,776,,N,P,SF,1,P,MO,631,25.0,FRM,1,N
000137743079,R,Other,6.49,295000.0,360,2024-02-01,2024-04-01,90.0,90.0,1,48.0,798,,N,P,SF,1,P,MN,551,25.0,FRM,1,N
